Label,Mood,Caption
Nostalgia,Funny,Nostalgia is like a grammar lesson: you find the present tense and the past perfect.
Felicity,Happy,Felicity is not in doing what one likes but in liking what one does.
Gratitude,Happy,Gratitude turns what we have into enough.
Harmony,Happy,Harmony is when what you think say and do are in agreement.
Imagination,Happy,Imagination is the eye of the soul.
Journey,Happy,The journey itself is home.
Kismet,Happy,Kismet brings the right people at the right time.
Liberty,Happy,Liberty is the right to choose. Freedom is the result of the right choices.
Mirth,Happy,Mirth is God's medicine.
Nirvana,Happy,Nirvana is here and now.
Openness,Happy,Openness invites inspiration.
Balance,Spiritual,Balance isn't something you find; it's something you create.
Connection,Spiritual,Connection is why we're here; it is what
Mountains,Nature,Mountains call and I must go.
Ocean,Nature,"The ocean stirs the heart, inspires the imagination, and brings eternal joy."
Forest,Nature,The clearest way into the universe is through a forest wilderness.
Sunset,Nature,Sunsets are proof that endings can be beautiful too.
Rivers,Nature,"Life flows like a river, finding its way around every obstacle."
Stars,Nature,Look up at the stars and not down at your feet.
Flowers,Nature,"Where flowers bloom, so does hope."
Seasons,Nature,"Seasons change, and so do we."
Rain,Nature,"Some people feel the rain, others just get wet."
Wildlife,Nature,"In every walk with nature, one receives far more than they seek."
Solitude,Philosophical,In solitude I found the universe within me.
Time,Philosophical,Time is just a construct that helps us make sense of infinity.
Perception,Philosophical,Reality is merely an illusion albeit a very persistent one.
Truth,Philosophical,The truth has a certain resonance that lies can never achieve.
Shadow,Philosophical,We are all just shadows dancing in the light of consciousness.
Thoughts,Philosophical,Thoughts become things. Choose the good ones.
Wisdom,Philosophical,Wisdom begins in wonder and ends in understanding.
Mystery,Philosophical,"Life isn't about finding yourself, it's about creating yourself."
Purpose,Philosophical,Purpose is that tiny light that guides you through the darkest nights.
Existence,Philosophical,To exist is rare. Most people just live.
Books,Poetic,Books are lighthouses erected in the great sea of time.
Rain,Poetic,The rain whispers stories the sun will never know.
Music,Poetic,Music is what feelings sound like when they escape the heart.
Sunrise,Poetic,Each sunrise is a poem written on the earth with words of light.
Memory,Poetic,Memories are the echoes of moments that refuse to be forgotten.
Autumn,Poetic,Autumn shows us how beautiful it is to let things go.
Whispers,Poetic,Some truths are better told in whispers.
Dreams,Poetic,Dreams are the shadows of reality dancing in moonlight.
Heartbeat,Poetic,My heartbeat writes poems in morse code.
Wind,Poetic,The wind carries messages from places I've yet to see.
Longing,Emotional,I am homesick for places I've never been.
Melancholy,Emotional,There's a certain kind of sadness that feels like coming home.
Hope,Emotional,Hope is the lighthouse that guides us through the storms of life.
Empathy,Emotional,The world needs more people who know how to return a feeling.
Loss,Emotional,Some missing pieces can never be replaced.
Joy,Emotional,Joy comes in moments so small they can fit in the palm of your hand.
Sorrow,Emotional,"Sorrow is just love with nowhere to go, so it stays inside."
Wonder,Emotional,"Wonder is the beginning of wisdom, and wisdom begins with wonder."
Love,Emotional,"Love isn't perfect. It's perfectly imperfect, like us."
Despair,Emotional,Even in the darkest moments a tiny star of hope still shines.
Cosmos,Spiritual,We are the universe experiencing itself.
Karma,Spiritual,How people treat you is their karma; how you react is yours.
Awakening,Spiritual,Awakening is not changing who you are but discarding who you are not.
Soul,Spiritual,Your soul is the part of you that longs for meaning.
Mindfulness,Spiritual,The present moment is filled with joy and happiness. If you are attentive you will see it.
Breath,Spiritual,Between stimulus and response there is a space. In that space is our power.
Consciousness,Spiritual,Consciousness is the greatest gift and the greatest mystery.
Infinity,Spiritual,Your mind can only comprehend what your heart is ready to accept.
Peace,Spiritual,Inner peace begins when you choose not to allow others to control your emotions.
Harmony,Spiritual,Harmony is found in the balance between what you think and what you do.
Coffee,Funny,I need coffee to help me change from grumpy to slightly less grumpy.
Nap,Funny,Naps are my favorite extreme sport.
Chocolate,Funny,Chocolate doesn't ask questions. Chocolate understands.
WiFi,Funny,Home is where the WiFi connects automatically.
Workout,Funny,I thought about exercising today. That's like four calories right there.
Monday,Funny,"Dear Monday, I want to break up. I'm seeing Tuesday and dreaming about Friday."
Diet,Funny,"I'm not saying I'm Wonder Woman, I'm just saying no one has ever seen me and Wonder Woman in the same room."
Alarm,Funny,My alarm clock is clearly broken. It goes off when I'm still tired.
Shopping,Funny,"Shopping is my cardio, and credit card is my personal trainer."
Tech,Funny,I don't need therapy. I just need my phone charged.
Friendship,Happy,Good friends are like stars. You don't always see them but you know they're always there.
Smile,Happy,A smile is the prettiest thing you can wear.
Travel,Happy,Happiness is a journey not a destination.
Kindness,Happy,"Be the reason someone smiles today, or the reason they drink. Whatever works."
Serenity,Happy,Finding beauty in the ordinary creates extraordinary joy.
Celebration,Happy,Life is a party and you're the guest of honor.
Dance,Happy,Dance like no one is watching (because they're all checking their phones).
Laughter,Happy,Laughter is timeless. Imagination has no age. Dreams are forever.
Optimism,Happy,The pessimist sees difficulty in every opportunity. The optimist sees opportunity in every difficulty.
Gratitude,Happy,Gratitude turns what we have into enough.
Achievement,Motivational,The difference between who you are and who you want to be is what you do.
Mindset,Motivational,Whether you think you can or think you can't - you're right.
Discipline,Motivational,Discipline is choosing between what you want now and what you want most.
Effort,Motivational,Dreams don't work unless you do.
Resilience,Motivational,Rock bottom became the solid foundation on which I rebuilt my life.
Growth,Motivational,Comfort is the enemy of progress.
Focus,Motivational,Focus on the step in front of you not the whole staircase.
Passion,Motivational,"The only way to do great work is to love what you do. If you haven't found it yet, keep looking."
Courage,Motivational,Courage is not having the strength to go on; it is going on when you don't have the strength.
Success,Motivational,Success is not final; failure is not fatal. It's the courage to continue that counts.
Beach,Nature,The sound of waves is nature's lullaby to a restless soul.
Sky,Nature,The sky is the daily bread of the eyes.
Waterfall,Nature,In every drop of water there is a story of life.
Wilderness,Nature,In wilderness I sense the miracle of life.
Trees,Nature,The best time to plant a tree was 20 years ago. The second best time is now.
Horizon,Nature,The horizon is not so far as we can see but as far as we can imagine.
Mountain,Nature,The mountains are calling and I must go.
Desert,Nature,The desert tells a different story every time one ventures on it.
Sunrise,Nature,Every sunrise is an invitation to brighten someone's day.
Moonlight,Nature,Moonlight drowns out all but the brightest stars.
Patience,Philosophical,Patience is not the ability to wait but how you act while waiting.
Doubt,Philosophical,Doubt is not a pleasant condition but certainty is an absurd one.
Change,Philosophical,The only constant in life is change.
Freedom,Philosophical,Freedom is not the absence of commitments but the ability to choose.
Balance,Philosophical,Life is about balance. Be kind but don't let people abuse you.
Chaos,Philosophical,Even in chaos there is beauty. Even in darkness there is light.
Journey,Philosophical,Life is a journey not a destination.
Destiny,Philosophical,Destiny is not a matter of chance; it is a matter of choice.
Reality,Philosophical,Reality is created by the mind. We can change our reality by changing our mind.
Simplicity,Philosophical,Simplicity is the ultimate sophistication.
Heartache,Emotional,Sometimes the heart sees what is invisible to the eye.
Empathy,Emotional,Empathy is seeing with the eyes of another and feeling with the heart of another.
Nostalgia,Emotional,Nostalgia is a file that removes the rough edges from the good old days.
Happiness,Emotional,Happiness is not something ready-made. It comes from your own actions.
Regret,Emotional,The only things we regret are the chances we didn't take.
Passion,Emotional,Passion is energy. Feel the power that comes from focusing on what excites you.
Contentment,Emotional,Contentment is not the fulfillment of what you want but the realization of how much you already have.
Bittersweet,Emotional,Every new beginning comes from some other beginning's end.
Heartbreak,Emotional,Hearts will never be practical until they are made unbreakable.
Euphoria,Emotional,Euphoria is that moment when you know you are in the right place at the right time.
Divinity,Spiritual,The divine is not something high above us. It is in heaven it is in earth it is inside us.
Alchemy,Spiritual,The alchemy of life is turning pain into poetry.
Serenity,Spiritual,Serenity comes when you trade expectations for acceptance.
Transcendence,Spiritual,We are not human beings having a spiritual experience. We are spiritual beings having a human experience.
Energy,Spiritual,Energy cannot be created or destroyed it can only change forms.
Intuition,Spiritual,Intuition is the whisper of the soul.
Presence,Spiritual,The present moment is the only moment available to us and it is the door to all moments.
Ritual,Spiritual,Rituals are the formulas by which harmony is restored.
Truth,Spiritual,The truth will set you free but first it will make you miserable.
Healing,Spiritual,Healing doesn't mean the damage never existed. It means the damage no longer controls our lives.
Overthinking,Funny,My mind is like my internet browser: 19 tabs open 3 of them are frozen and I have no idea where the music is coming from.
Laundry,Funny,The amount of laundry I have to do keeps me from doing laundry.
Working,Funny,I'm not procrastinating. I'm just extremely productive at unimportant things.
Parents,Funny,My parents didn't raise me to be second. They raised me to be first. But second is fine too I guess.
Office,Funny,My job is secure. Nobody else wants it.
Cooking,Funny,"I'm on a seafood diet. I see food, and I eat it."
Budget,Funny,My wallet is like an onion. When I open it I cry.
Workout,Funny,My idea of a perfect body is one with a Nutella jar in each hand.
Sleep,Funny,My bed is a magical place where I suddenly remember everything I was supposed to do.
Cleaning,Funny,I cleaned my house yesterday. I should have taken before and after pictures. It's a twelve-hour difference.
Spontaneity,Happy,The best things happen unexpectedly.
Enjoyment,Happy,Enjoy the little things for one day you may look back and realize they were the big things.
Positivity,Happy,Positive mind. Positive vibes. Positive life.
Relaxation,Happy,Sometimes the most productive thing you can do is relax.
Experience,Happy,Life is either a daring adventure or nothing at all.
Carefree,Happy,Worrying is stupid. It's like walking around with an umbrella waiting for it to rain.
Peace,Happy,Peace comes from within. Do not seek it without.
Pleasure,Happy,Find pleasure in the simple things.
Satisfaction,Happy,To be without some of the things you want is an indispensable part of happiness.
Delight,Happy,Life is delicious. Bite by bite and moment by moment.
Inspiration,Motivational,The only limit to our realization of tomorrow will be our doubts of today.
Grit,Motivational,Grit is that extra something that separates the most successful people from the rest.
Endurance,Motivational,Endurance is not just the ability to bear a hard thing but to turn it into glory.
Opportunity,Motivational,In the middle of difficulty lies opportunity.
Victory,Motivational,Victory belongs to the most persevering.
Dedication,Motivational,The price of success is hard work dedication to the job at hand.
Dreams,Motivational,Don't dream your life live your dreams.
Hustle,Motivational,Good things come to those who hustle.
Belief,Motivational,Believe you can and you're halfway there.
Persistence,Motivational,Energy and persistence conquer all things.
Garden,Nature,To plant a garden is to believe in tomorrow.
Butterfly,Nature,Butterflies are self-propelled flowers.
Lake,Nature,A lake is the landscape's most beautiful and expressive feature.
Meadow,Nature,A meadow of flowers is nature's poem to life.
Cliff,Nature,Standing on the edge of a cliff makes you realize what matters in life.
Valley,Nature,The valley shines with the light of newfound perspective.
Seashore,Nature,The seashore is not a place to work; it is a place to be.
Cave,Nature,Some beautiful paths can't be discovered without getting lost.
Waterfall,Nature,Life is like a waterfall. It is always moving and there is always an uneven flow.
Thunderstorm,Nature,Thunderstorms are as perfect as a sleeping child.
Memories,Poetic,Memories are the diary we all carry about with us.
Twilight,Poetic,Twilight drops her curtain down and pins it with a star.
Candlelight,Poetic,A candle loses nothing by lighting another candle.
Starlight,Poetic,The stars are the street lights of eternity.
Fireflies,Poetic,Fireflies are stars that have come down to earth.
Melodies,Poetic,Life is a melody of opportunities.
Storytelling,Poetic,Everyone is a story. What's yours?
Sonnets,Poetic,A life without love is like a year without summer.
Lullaby,Poetic,The night sky is a lullaby written in starlight.
Whispers,Poetic,The world speaks in whispers if we would only listen.
Anxiety,Emotional,Anxiety was born in the very same moment as mankind.
Doubt,Emotional,Doubt kills more dreams than failure ever will.
Anticipation,Emotional,The pleasure isn't in doing the thing but in planning it all out.
Worry,Emotional,Worry is a misuse of imagination.
Fear,Emotional,Fear is only as deep as the mind allows.
Relief,Emotional,Relief is just a breath away.
Guilt,Emotional,Guilt is just another name for not enough courage.
Shame,Emotional,Shame is the most powerful master emotion.
Pride,Emotional,Pride is concerned with who is right. Humility is concerned with what is right.
Content,Emotional,When you are content to be simply yourself things naturally fall into place.
Mantra,Spiritual,A mantra is an instrument of the mind that transforms vibrations into feelings.
Prayer,Spiritual,Prayer doesn't change things; it changes people and they change things.
Dharma,Spiritual,Dharma is not a matter of what is right versus what is wrong but of what is appropriate versus what is inappropriate.
Yoga,Spiritual,Yoga is the journey of the self through the self to the self.
Meditation,Spiritual,Meditation is the dissolution of thoughts in eternal awareness.
Gratitude,Spiritual,Gratitude turns what we have into enough.
Compassion,Spiritual,Compassion is the radicalism of our time.
Forgiveness,Spiritual,Forgiveness is giving up the hope that the past could have been any different.
Grace,Spiritual,Grace is the beauty of form under the influence of freedom.
Faith,Spiritual,Faith is taking the first step even when you don't see the whole staircase.
Gym,Funny,The gym is like a nightclub – you pay to get in but you don't want to be there.
Technology,Funny,I don't need anger management. I need people to stop making me angry.
Marriage,Funny,Marriage is like a walk in the park... Jurassic Park.
Children,Funny,Having children is like living in a frat house – nobody sleeps everything's broken and there's a lot of throwing up.
Traffic,Funny,"Traffic is just a bunch of cars having a meeting, and I'm late for it."
Online Shopping,Funny,The most expensive part of having kids is all the wine you have to drink.
Autocorrect,Funny,Autocorrect has become my worst enema.
Memory,Funny,My memory is so bad it's got its own memory.
Diet,Funny,"I'm not saying I hate dieting, but I've been on so many that I can't even remember the taste of real food."
Social Media,Funny,"I don't always check social media at work but when I do, I look very focused."
Beach,Happy,Life is a beach. Enjoy the waves.
Morning,Happy,Every morning is a new beginning.
Freedom,Happy,Freedom is the oxygen of the soul.
Simplicity,Happy,Simplicity is the key to brilliance.
Contentment,Happy,Contentment is natural wealth; luxury is artificial poverty.
Comfort,Happy,Find comfort in the chaos.
Satisfaction,Happy,True satisfaction comes from within.
Bliss,Happy,Bliss is dancing to the rhythm of your own heartbeat.
Wellness,Happy,Wellness is the complete integration of body mind and spirit.
Connection,Happy,The best connections are the ones that you didn't see coming.
Resilience,Motivational,Life doesn't get easier. You just get stronger.
Strength,Motivational,Strength doesn't come from what you can do. It comes from overcoming the things you once thought you couldn't.
Leadership,Motivational,A leader is one who knows the way goes the way and shows the way.
Willpower,Motivational,Willpower is like a muscle: the more you train it the stronger it gets.
Discipline,Motivational,Discipline is choosing between what you want now and what you want most.
Consistency,Motivational,Small consistent actions lead to massive results over time.
Confidence,Motivational,"Confidence is not ""they will like me."" It's ""I'll be fine if they don't."""
Purpose,Motivational,When you find your purpose you find your life.
Transformation,Motivational,Transformation is a process not an event.
Breakthrough,Motivational,Sometimes the greatest breakthrough is simply having the courage to begin.
Volcano,Nature,Life is a volcano that erupts thoughts and emotions.
Glacier,Nature,Like a glacier patience levels everything in its path.
Lightning,Nature,Lightning is impressive but it is the thunder that brings the audience to their feet.
Desert,Nature,The desert has its holiness of silence the crowd its holiness of conversation.
Canyon,Nature,Stand at the edge of a canyon to understand the depth of your own soul.
Prairie,Nature,The prairie teaches us that boundaries are simply illusions.
Hill,Nature,From the top of the hill everything seems possible.
Cloud,Nature,Be like a cloud – free-flowing and untethered.
Snow,Nature,Each snowflake is a masterpiece of design and no one design is ever repeated.
Shoreline,Nature,The shoreline is where land and water write poetry together.
Consciousness,Philosophical,Consciousness is the greatest mystery in the universe.
Identity,Philosophical,Your identity is not in what you have but in who you are.
Ethics,Philosophical,Ethics is knowing the difference between what you have a right to do and what is right to do.
Morality,Philosophical,Morality is the herd-instinct in the individual.
Paradox,Philosophical,The paradox of life is that often the things we want most are found when we're not looking for them.
Perspective,Philosophical,Perspective is everything. Change yours and your world changes.
Absurdity,Philosophical,Life would be tragic if it weren't funny.
Meaning,Philosophical,Life is not a problem to be solved but a reality to be experienced.
Ego,Philosophical,The ego is not master in its own house.
Existentialism,Philosophical,Existence precedes essence.
Metaphor,Poetic,Life is a metaphor waiting to be written.
Verse,Poetic,There is poetry in the most ordinary moments.
Lyric,Poetic,The lyrics of life are written in the small moments of joy.
Rhyme,Poetic,Find the rhythm and rhyme in your everyday routine.
Stanza,Poetic,Each day is a stanza in the poem of your life.
Sonnet,Poetic,Love is like a sonnet – structured yet free.
Haiku,Poetic,Simple moments speak volumes like a perfect haiku.
Allegory,Poetic,Every life is an allegory waiting to unfold its meaning.
Imagery,Poetic,The world is full of magic things patiently waiting for our senses to grow sharper.
Elegy,Poetic,An elegy to all the moments we let slip through our fingers.
Hope,Emotional,Hope is the thing with feathers that perches in the soul.
Anger,Emotional,Anger is just one letter short of danger.
Grief,Emotional,Grief is the price we pay for love.
Sympathy,Emotional,No one ever told me that grief felt so like fear.
Trust,Emotional,Trust takes years to build seconds to break and forever to repair.
Jealousy,Emotional,Jealousy is the art of counting someone else's blessings instead of your own.
Affection,Emotional,Affection is responsible for nine-tenths of whatever solid and durable happiness there is in our lives.
Sadness,Emotional,Sadness gives depth. Happiness gives height. Sadness gives roots. Happiness gives branches.
Desire,Emotional,Desire is the key to motivation but it's determination and commitment that unlock the door to success.
Excitement,Emotional,Excitement is the electricity of life.
Harmony,Spiritual,Harmony in the head harmony in the heart harmony in the hands.
Tao,Spiritual,The Tao that can be told is not the eternal Tao.
Zen,Spiritual,Zen is not some kind of excitement but concentration on our usual everyday routine.
Karma,Spiritual,How people treat you is their karma; how you react is yours.
Nirvana,Spiritual,Nirvana is not a place but a state of consciousness.
Reincarnation,Spiritual,The soul is eternal and reincarnation is just a change of clothes.
Aura,Spiritual,Your aura is your spiritual DNA.
Blessing,Spiritual,Count your blessings not your problems.
Connection,Spiritual,Everything is connected. The wing of the corn beetle affects the direction of the wind.
Devotion,Spiritual,Devotion is not a strained obligation but a natural outpouring of love.
Pets,Funny,My pet is not just an animal; it's a small person in a furry suit.
Dating,Funny,Dating me is like… Well I don't know but I'm pretty sure the manual is written in Chinese.
Cooking,Funny,I'm such a good cook that even the smoke alarm cheers me on.
Bills,Funny,My bills are high enough to be in the NBA.
Email,Funny,I have so many unread emails that my computer has started charging me rent.
Work,Funny,I don't always work hard but when I do I make sure everyone on social media knows about it.
School,Funny,School is like a broken pencil... pointless.
Fitness,Funny,My fitness goal is to get up without making sound effects.
Relationships,Funny,Relationships are like algebra. Have you ever looked at your X and wondered Y?
Technology,Funny,I'm not addicted to my phone. I can stop as soon as I finish this level.
Freedom,Happy,Freedom is not given; it is taken.
Morning,Happy,With every rising of the sun think of your life as just begun.
Inspiration,Happy,Life is 10% what happens to us and 90% how we react to it.
Comfort,Happy,The greatest comfort is being able to look back and see how far you've come.
Contentment,Happy,True contentment is a pearl of great price.
Enjoyment,Happy,Enjoy the little things for one day you may look back and realize they were the big things.
Pleasure,Happy,The greatest pleasure in life is doing what people say you cannot do.
Connection,Happy,We're all just walking each other home.
Peace,Happy,Peace is not the absence of conflict but the ability to cope with it.
Harmony,Happy,Harmony is pure love for love is complete agreement.
Vision,Motivational,Vision without action is merely a dream. Action without vision just passes the time. Vision with action can change the world.
Ambition,Motivational,Ambition is the path to success. Persistence is the vehicle you arrive in.
